name
Gregg Araki
Jean-Marie Poiré
Chris Hegedus
 D.A. Pennebaker
Stephen Surjik
 Dick Zondag
 Ralph Zondag
Robert Klane
Jing Wong
 Sammo Hung Kam-Bo
Kirk Wong
 Jackie Chan
Theo van Gogh
Charles T. Kanganis
Jeff Pollack
Tom Shadyac
Stephan Elliott
George Casey
Ming-liang Tsai
Patrick Read Johnson
Shekhar Kapur
Caroline Thompson
Rupert Wainwright
Mike Binder
Adam Resnick
Helena Solberg
James D.R. Hickox
Kar-Wai Wong
Paul Weiland
Kevin Smith
Yves Angelo
Jessie Nelson
Michael Blakemore
Gregg Champion
Alex Proyas
Terry Zwigoff
Sam Weisman
Bradford May
Allan A. Goldstein
Michele Soavi
Mina Shum
Peter Farrelly
 Bobby Farrelly
Kar-wai Wong
Claude Chabrol
Atom Egoyan
Gérard Corbiau
Boaz Yakin
Rose Troche
Michel Blanc
Steven Brill
Andrew Morahan
 Corey Yuen
Steve James
Eric Meza
Randall Miller
Anthony Drazan
Matty Rich
Charles Haid
Adam Bernstein
Doug McHenry
James Melkonian
Gordon Chan
Peter Sehr
Mark Malone
Roger Avary
Ken Loach
Gianni Amelio
Roger Allers
 Rob Minkoff
Andrew Scheinman
James Gray
Anna Campion
C.M. Talkington
François Dupeyron
Nicholas Hytner
Freida Lee Mock
Perry Lang
Martine Dugowson
P.J. Hogan
Anthony Waller
Michael Almereyda
Peter Segal
Rafal Zielinski
Alan Jacobs
Izidore K. Musallam
Lee Tamahori
Hart Bochner
Pixote Hunt
 Joe Johnston
Ping He
Milcho Manchevski
Antonia Bird
Michael Austin
Mel Smith
Ben Stiller
Ted Demme
Patrice Chéreau
Kim Henkel
Stuart Orme
Robert Allan Ackerman
John Pasquin
Danny Boyle
Frank Darabont
Paul W.S. Anderson
Gillies MacKinnon
David O. Russell
Jan de Bont
Xavier Koller
David Carson
Steven E. de Souza
Geoff Burton
 Kevin Dowling
Ernest R. Dickerson
Richard Rich
Christian Vincent
Aaron Speiser
Jon Moritsugu
Deran Sarafian
Bud Friedgen
 Michael J. Sheridan
Andrew Fleming
Ho Yim
Nikita Mikhalkov
Margarethe von Trotta
Tom Noonan
Abbas Kiarostami
 Michael Henry Wilson
Sang-ok Shin
Steve Oedekerk
Stephen Low
Scott Harris
Michael Rymer
Rebecca Miller
Philip Haas
Jon Blair
Marleen Gorris
Richard Williams
Chris Noonan
Melanie Mayron
Guy Ferland
Michael Bay
Damian Harris
Jafar Panahi
Simon Wells
Scott Kalvert
Holly Goldberg Sloan
Alan Mehrez
Paul Auster
 Wayne Wang
 Harvey Wang
Robert Lee King
 Raoul O'Connell
 Brian Sloan
Betty Thomas
Edward Burns
Michael Winterbottom
Jorge Fons
Bill Condon
Louis Morneau
Christopher Hampton
Brad Silberling
Robert Leacock
Chris Gerolmo
Robert Lepage
Sean Penn
Darrell Roodt
Peter Horton
Tran Anh Hung
Hal Salwen
Jack Baran
Jeremy Leven
Álex de la Iglesia
Laetitia Masson
Christopher Monger
Andrew Sipes
Christopher Menaul
Carlo Carlei
 Alexandre Rockwell
 Robert Rodriguez
 Quentin Tarantino
F. Gary Gray
Josiane Balasko
Kevin James Dobson
Kevin Lima
Mark Lewis
Charles Matthau
Art Clokey
Joe Chappelle
Brett Thompson
Angela Pope
J.F. Lawton
Maria Maggenti
Andy Tennant
Tim Sullivan
Christopher Ashley
Robert Longo
Danny Cannon
John Fortenberry
Noah Baumbach
Larry Clark
Matti Grönberg
Roy Allen Smith
Henry Jaglom
Stacy Title
Alfonso Cuarón
Julianna Lavin
Stephen Gyllenhaal
Hirokazu Koreeda
Frédéric Mitterrand
Dirk Shafer
Mort Ransen
Kôji Morimoto
 Tensai Okamura
 Katsuhiro Ôtomo
David Frankel
Bryan Spicer
Yoshifumi Kondô
Paul Williams
Kelly Makin
Nick Gomez
Susanne Ofteringer
Lesli Linka Glatter
Tim Reid
Oliver Parker
Daisy von Scherler Mayer
Frieder Schlaich
 Irene von Alberti
Roger Michell
Kayo Hatta
Mike Gabriel
 Eric Goldberg
Anne Goursaud
Victor Salva
Gregory Widen
Joshua Brand
Richard Loncraine
Clare Peploe
Christian Duguay
 Paul Auster
Nigel Finch
George Huang
Gary Fleder
Wesley Strick
Beeban Kidron
S.S. Wilson
Lloyd Kaufman
Pat Verducci
Diane Keaton
Douglas Keeve
Forest Whitaker
Preston A. Whitmore II
Todd Solondz
Patricia Rozema
Desmond Nakano
Joan Chen
Benjamin Ross
Tad Stones
Kevin Spacey
Larry Leker
 Paul Sabella
Michael Corrente
Steve White
David Twohy
David Hogan
Julian Schnabel
Anjelica Huston
Hettie Macdonald
Mike Judge
 Mike de Seve
 Brian Mulroney
 Yvette Kaplan
Michael Goldenberg
Tian-Ming Wu
Campbell Scott
 Stanley Tucci
Jason Bloom
Daniel Lee
Nina Menkes
Wes Anderson
Lana Wachowski
 Lilly Wachowski
Stacy Cochran
Mark Herman
Jonathan Winfrey
Tom DeCerchio
Cédric Klapisch
Greg Spence
Peter Duncan
Alexander Payne
Mark Joffe
Tim Pope
Greg Mottola
Richard Spence
Paris Barclay
Tiffanie DeBartolo
Bill Couturié
Douglas McGrath
Robert Harling
Stuart Baird
Steven Baigelman
Susan Streitfeld
Deepa Mehta
Costa Botes
 Peter Jackson
Annette Haywood-Carter
Matthew Bright
Mohsen Makhmalbaf
John Gray
S.R. Bindler
Bronwen Hughes
Ralph Ziman
Kevin Yagher
David R. Ellis
Craig Rosenberg
Rick Castro
 Bruce La Bruce
Doug Pray
Mary Harron
Herb Gardner
Eric Schaeffer
Nancy Meckler
 Richard Stanley
John Payson
Scott Silver
Sergey Bodrov
Leslie Greif
Bobby Farrelly
 Peter Farrelly
Lynne Stopkewich
Jan Sverák
Farhad Mann
Al Pacino
Kevin Bacon
Emma-Kate Croghan
Chris Hunt
Jerry Zaks
Murray Lerner
Claude Nuridsany
 Marie Pérennou
Pen Densham
Jim Mallon
Matt Reeves
Alan Taylor
R.J. Cutler
 David Van Taylor
Doug Ellin
Richard Schenkman
Jacques Doillon
Gregory Hoblit
Nicolas Winding Refn
Jean-Claude Van Damme
Masayuki Suo
Scott Hicks
Billy Bob Thornton
Kurt Miller
 Peter Speek
Norberto Barba
Lee David Zlotoff
Rick Friedberg
Jonathan Frakes
Daniel J. Sullivan
Sammo Kam-Bo Hung
Sönke Wortmann
Doug Liman
Gilbert Adler
Alejandro Amenábar
Tom Hanks
Martin Lawrence
Michael Oblowitz
Steve Buscemi
Francesco Rosi
David Koepp
Bill Bennett
Arlene Sanford
Nicole Holofcener
Leon Gast
Daniel Pyne
Dan Ireland
Blair Treu
Alan Cohn
Scott Winant
Sean McNamara
Tom Schulman
Griffin Dunne
Jean-Pierre Jeunet
Vondie Curtis-Hall
Robert Duvall
Jay Roach
Katja von Garnier
Sean Mathias
Juan José Campanella
Steven Vidler
Lance Mungia
Lance Young
Jonathan Darby
Paul Thomas Anderson
Aleksey Balabanov
Jonathan Mostow
Pål Sletaune
Vincent Gallo
Rob Sitch
Mark Dindal
Jim Van Bebber
Majid Majidi
David Dobkin
Jill Sprecher
Simon West
Marshall Herskovitz
Des McAnuff
Tim McCanlies
John Malkovich
David Hare
Finn Taylor
Martha Fiennes
Kasi Lemmons
Charles Sturridge
David Evans
 Robert Young
Félix Enríquez Alcalá
William Nicholson
Sam Pillsbury
Peter Cattaneo
Andrew Niccol
Julia Sweeney
Jeb Stuart
Brian Robbins
Harmony Korine
Ferzan Ozpetek
John Madden
Raja Gosnell
Dean Parisot
Mark Waters
Lionel C. Martin
Jim Gillespie
Bill Plympton
Neil LaBute
Erik Skjoldbjærg
Andrew Gallerani
Mike van Diem
Tony Vitale
Thomas Jahn
John Nicolella
Andy Cadiff
Jonas Pate
 Josh Pate
Richard Kwietniowski
John Maybury
Joe Mantello
Alain Berliner
Anna Maria Tatò
Kari Skogland
Philip Saville
Ivan Galin
Brett Ratner
John R. Leonetti
Gore Verbinski
Charlie Peters
Udayan Prasad
Bart Freundlich
Brad Anderson
Mark Pavia
Ole Bornedal
Gary Oldman
Cindy Sherman
Peter Mullan
Mimi Leder
Paul Miller
Andy Wilson
Kurt Voss
Theresa Connelly
Antoine Fuqua
David Mirkin
Nick Cassavetes
Fred Olen Ray
Stefan Schwartz
Darrell Rooney
 Rob LaDuca
Peter Howitt
Keith Samples
George Tillman Jr.
Mark A.Z. Dippé
Bob Spiers
Gavin Wilding
Miguel Arteta
James F. Robinson
Peter O'Fallon
Chris Eyre
 Ash Brannon
 Lee Unkrich
Jack N. Green
Roger Nygard
Kiefer Sutherland
Shuki Levy
 David Winning
Kevin Allen
Scott Reynolds
Roger Christian
Stephen Kessler
Erick Zonca
John Bruno
Manny Coto
Ronny Yu
Frank Coraci
M. Night Shyamalan
Alan Rickman
Robert Kurtzman
John O'Hagan
David Steinberg
Mark Christopher
Tony Kaye
Eric Darnell
 Tim Johnson
Gary Sinyor
Steve Gomer
Spike Jonze
Stephen Norrington
Tony Goldwyn
 Andrew Stanton
Peter Lord
 Nick Park
Steve Boyum
Bob Saget
 Michael Crichton
Leslie Woodhead
 Bud Greenspan
David Breashears
 Stephen Judson
 Greg MacGillivray
Tim Story
Dean Semler
Julie Taymor
Amos Poe
Sandra Goldbacher
Kevin Rodney Sullivan
John Turturro
Michael Vejar
Craig Monahan
Peter Kassovitz
Richard LaGravenese
Todd Holland
Guy Ritchie
John Warren
Randall Wallace
Tony Bancroft
 Barry Cook
 Amy Heckerling
Don Roos
Nancy Meyers
Brian Helgeland
David Veloz
Gary Ross
Brenda Chapman
 Steve Hickner
Frederik Du Chau
John Hamburg
Stanley Tucci
Tamara Jenkins
Larry David
Chris Buck
 Kevin Lima
Paul Quinn
Pat Proft
Rob Bowman
Jake Kasdan
 Gaëtan Brizzi
 Paul Brizzi
 Hendel Butoy
 Francis Glebas
 Don Hahn
 Pixote Hunt
 Art Vitello
 Mike Johnson
 Susumu Saegusa
 Andrew Theopolis
Jesús Salvador Treviño
Bonnie Hunt
Sam Miller
Vincenzo Natali
Michael Cristofer
Kiyoshi Kurosawa
Benoît Jacquot
Peter Berg
Trey Parker
Mark Steven Johnson
Skip Woods
Brian Sloan
John Roberts
Andrew Adamson
 Vicky Jenson
Morgan J. Freeman
Paddy Breathnach
Hans-Christian Schmid
Christopher Scott Cherot
Benny Chan
Harry Elfont
 Deborah Kaplan
Nicholas Barker
Robert Iscove
Brad Bird
Bruce McCulloch
Max Färberböck
Eric Leighton
Tom Tykwer
Hollis Frampton
Jan Pinkava
Michael Martin
Chris Roberts
Kinka Usher
Bharat Nalluri
Kevin Williamson
Andy Wachowski
 Lana Wachowski
James Merendino
Julio Medem
Claude Zidi
Jake Scott
Igor Kovalyov
 Norton Virgien
David Nutter
Bruce Paltrow
 Jack Sholder
Risa Bramon Garcia
Mark Pellington
Tommy O'Haver
Rand Ravich
David Moreton
Jonathan Kahn
Ana Kokkinos
Rodman Flender
Myles Connell
Darren Aronofsky
Bibo Bergeron
 Don Paul
 Jeffrey Katzenberg
Tony Bui
Myles Berkowitz
Roger Kumble
Lisa Cholodenko
Steven Feder
Marc Levin
Josef Rusnak
Yasuzô Masumura
Susan Skoog
Richard Martin
Walter Salles
Robert Meyer Burnett
Troy Miller
Tim Roth
Antonio Banderas
Maya Angelou
Osamu Kasai
Daisuke Nishio
Yoshihiro Ueda
Shigeyasu Yamauchi
Mitsuo Hashimoto
 Daisuke Nishio
George Haas
Troy Duffy
Eric Styles
Chris Menges
J.S. Cardone
Damon Santostefano
Susan Muska
 Gréta Olafsdóttir
Douglas Aarniokoski
Willard Carroll
Mark Tarlov
Janet Greek
Jamie Blanks
Dave Payne
Gil Junger
Robert C. Ramirez
Chris Bould
Bennett Miller
Tim Kirkman
Lukas Moodysson
Anand Tucker
Hampton Fancher
Gérard Pirès
Thomas Vinterberg
Christopher Nolan
Robert Scott
Glen Goei
Darren Stein
Max Fleischer
Tom Gilroy
Scott Alexander
 Larry Karaszewski
John Keitel
Don McKellar
John Forte
Theodoros Angelopoulos
Jay Russell
Satoshi Kon
Gaspar Noé
Donal Lardner Ward
Ziad Doueiri
Michael Patrick Jann
Rod Lurie
Toshiya Fujita
Tim Hill
Sofia Coppola
Nacho Cerdà
Jasmin Dizdar
John Moore
Gary Halvorson
P.J. Castellaneta
McG
Audrey Wells
Janusz Kaminski
Scott Elliott
Gavin O'Connor
Rick Famuyiwa
Caroline Link
Neil Turitz
Kevin Jordan
Mark Illsley
Olli Saarela
Jim Fall
Michael Polish
Chi Muoi Lo
Simon Shore
Hugh Johnson
Paul Weitz
 Chris Weitz
Joe Carnahan
John Schultz
Søren Kragh-Jacobsen
Rob Minkoff
Toshio Matsumoto
Neil Abramson
Gerald Kargl
Adam Rifkin
Bob Gale
Jeff Abugov
Andrzej Bartkowiak
Patrick Gilmore
Damien O'Donnell
Peter Ho-sun Chan
Kirk Jones
Kelly Asbury
 Lorna Cook
Martyn Burke
Kevin Alyn Elders
Tod Williams
Malcolm D. Lee
Denzel Washington
Jeremy Podeswa
Anne Wheeler
Santosh Sivan
Sam Mendes
Hideaki Anno
 Kazuya Tsurumaki
 Masayuki
Hiroyuki Nakano
Radu Mihaileanu
Eric Blakeney
Edward Norton
Lynne Ramsay
Kimberly Peirce
Hironobu Sakaguchi
 Motonori Sakakibara
Stéphane Giusti
James Moll
Mic Rodgers
Davis Guggenheim
Sebastian Schipper
Peter Askin
 Douglas McGrath
Fatih Akin
Adam Brooks
Hideo Nakata
Jamie Babbit
Noel Buckner
 Rob Whittlesey
Lasse Spang Olsen
Chris Smith
Michel Ocelot
Nanette Burstein
 Brett Morgen
Barbara Sonneborn
Gough Lewis
Craig Mazin
Ben Younger
Jon Shear
Pip Karmel
Ed Harris
Gérard Krawczyk
Andrew J. Kuehn
Tim Blake Nelson
Tom Dey
Chris Koch
William Malone
Daniel Myrick
 Eduardo Sánchez
Alison Maclean
Francine McDougall
Kris Isacsson
Stefan Ruzowitzky
Maurice Joyce
Roko Belic
José Luis Cuerda
Jez Butterworth
Justin Kerrigan
Jeff Franklin
Mark Osborne
Christine Fugate
John Swanbeck
E. Elias Merhige
Courtney Solomon
Vic Sarin
Kunihiko Yuyama
 Michael Haigney
Je-kyu Kang
John Ottman
Hiroyuki Okiura
Henry Bromell
Catherine Breillat
Nigel Cole
Don Mischer
James Wong
Mark Piznarski
Steve Carr
Pan Nalin
Rob Schmidt
Matt Williams
Pete Docter
 David Silverman
Gina Prince-Bythewood
Antony Hoffman
Jean-Pierre Dardenne
 Luc Dardenne
John Mathew Matthan
Dan Cohen
David McNally
Terence Davies
Khyentse Norbu
David Raynr
Raymond De Felitta
Christopher McQuarrie
Jonathan Glazer
Kenneth Lonergan
Harald Zwart
Joe Charbanic
Frédéric Fonteyne
Peyton Reed
Mike Mitchell
Britt Allcroft
François Ozon
David Shapiro
 Laurie Gwen Shapiro
Fina Torres
Kristen Coury
Ben Elton
 Hugh Laurie
Christine Lahti
Douglas McCarthy
Aviva Kempner
Kristian Levring
Stephen Kay
Nanni Moretti
 Edward Lachman
Rob Spera
Adam Shankman
Tarsem Singh
John Fawcett
Karyn Kusama
Michael Haigney
 Kunihiko Yuyama
Rodrigo García
James Marsh
Eric Valli
 Michel Debats
Jason Priestley
James Isaac
Joby Harold
John Blanchard
Thomas Bezucha
Greg Harrison
Stig Bergqvist
 Paul Demeyer
Michael Davis
Yang Zhang
Robert Adetuyi
Agnès Jaoui
Dominik Moll
Barry W. Blaustein
Max Mitchell
Walt Becker
Gary Burns
Reggie Rock Bythewood
Patrick Lussier
Michel Gondry
Jun Falkenstein
 Chris Butler
Kieron J. Walsh
Juan Carlos Fresnadillo
Denis Villeneuve
Steven Okazaki
Andrew Dominik
Takashi Miike
Daniel Sackheim
John Carney
Éva Gárdos
Greg Berlanti
Myung-se Lee
Ethan Hawke
Jon Favreau
Olivier Ducastel
 Jacques Martineau
Kevin Macdonald
Chris Weitz
 Paul Weitz
Demian Lichtenstein
Fenton Bailey
 Randy Barbato
Valerie Breiman
Jan Hrebejk
David Atkins
Michael Tollin
Jenniphr Goodman
Marc Singer
Kantz
 Ben Ramsey
Norio Tsuruta
D.J. Caruso
Aiyana Elliott
Anders Thomas Jensen
Deborah Hoffmann
 Frances Reid
Christophe Gans
Silvio Soldini
Baltasar Kormákur
Kurt Wimmer
Peter Care
George Gallo
Lawrence Guterman
J.B. Rogers
Hiroshi Saitô
Tom Green
Dewey Nicks
Josh Aronson
Luiz Fernando Carvalho
Ed Decter
Danny Leiner
Nick Hamm
Michael Cuesta
Laurent Firode
Sharon Maguire
John Putch
David L. Cunningham
David Wain
Lone Scherfig
Shinji Aoyama
 Eric Simonson
Edward Yang
Higuchinsky
Richard Glatzer
 Wash Westmoreland
Léa Pool
Don Kempf
 James D. Stern
Steve Beck
Dennie Gordon
Alejandro González Iñárritu
Paul Hunter
Eric Hannah
Dale Resteghini
Richard Kelly
Greg Pritikin
Rocco Urbisci
Raoul Peck
Sandra Nettelbeck
Gregory Poirier
Henry Bean
Todd Field
Jesse Vaughan
Fabián Bielinsky
Jay Chandrasekhar
Ralph Eggleston
John Cameron Mitchell
Mark Jonathan Harris
Virginie Despentes
 Coralie
Stephen Daldry
Miles Swain
Julie Davis
John Stockwell
Oliver Hirschbiegel
Karen Disher
 Guy Moore
Robert Luketic
John Whitesell
Daniel Minahan
Paul Cox
Roland Suso Richter
Rob Zombie
Lionel Coleman
Jordan Melamed
Alan Cumming
 Jennifer Jason Leigh
Maria Ripoll
Luke Greenfield
Lieven Debrauwer
 Jehane Noujaim
Clark Johnson
Blair Hayes
Christian Zübert
Robert J. Emery
Chris Fiore
Ray Lawrence
Joel Zwick
Brent Maddock
Mamoru Hosoda
 Shigeyasu Yamauchi
Chan-wook Park
Leon Ichaso
Franc. Reyes
David Gordon Green
Ömer Vargi
Paul Gross
Yongyoot Thongkongtoon
Bill Paxton
Charles Herman-Wurmfeld
Coline Serreau
Shawn Levy
Mark Romanek
John Lee Hancock
Billy Morrissette
Gabriele Muccino
Kinji Fukasaku
Andrew Stanton
Alex Smith
 Andrew J. Smith
Tetsuro Takeuchi
Stephen Gaghan
Anne Fontaine
Chris Wedge
 Carlos Saldanha
John A. Davis
Claude Miller
Josef Fares
Yvan Attal
Patrick Stettner
Kazuki Akane
 Yoshiyuki Takei
Chris Nahon
Anthony Russo
 Joe Russo
Seth Kearsley
Ellory Elkayem
Guel Arraes
Will Vinton
Vanessa Middleton
Joel Hopkins
Jacques Audiard
Steven Shainberg
Sung-su Kim
Hiroyuki Kitakubo
Shinichirô Watanabe
 Hiroyuki Okiura
Stacy Peralta
Rich Murray
Dean DeBlois
 Chris Sanders
Hans Weingartner
 Tobias Amann
Joel Gallen
Gregor Jordan
Kevin Bray
Jesse Dylan
Jan Harlan
Eric Bross
Callie Khouri
Wallace Wolodarsky
 Lynne Southerland
Robin Budd
 Donovan Cook
Juan Pablo Rebella
 Pablo Stoll
Paul Greengrass
Neil Marshall
Burr Steers
Richard Eyre
Angela Christlieb
 Stephen Kijak
Cathy Malkasian
 Jeff McGrath
Jonathan Liebesman
Scott J. Gill
B.Z. Goldberg
 Justine Shapiro
 Carlos Bolado
Jonas Åkerlund
John Polson
Danis Tanovic
Robert Harmon
Bill Corcoran
Michael Kruzan
Olivier Assayas
Agustín Díaz Yanes
Pauly Shore
Mark Mylod
Zacharias Kunuk
Mort Nathan
Andrzej Sekula
Marc Forster
Stephen Chow
Pete Jones
Sylvain Chomet
Johnnie To
 Ka-Fai Wai
Ondrej Trojan
Craig McCracken
Eric Bress
 J. Mackye Gruber
Kevin Donovan
Menno Meyjes
DJ Pooh
George Clooney
Ryosuke Hashiguchi
Chatrichalerm Yukol
Barry Skolnick
Laetitia Colombani
Lucy Walker
Rintaro
Louis Leterrier
Jae-young Kwak
Marcus Raboy
Perry Andelin Blake
Sturla Gunnarsson
Patricia Cardoso
Alejandro Agresti
Don Michael Paul
Chris Delaporte
 Pascal Pinon
 Kelly Asbury
 Conrad Vernon
Niki Caro
Mike Nawrocki
 Phil Vischer
Dylan Kidd
Will Finn
 John Sanford
Shinobu Yaguchi
Rob Marshall
Michael Criscione
 Michael Meyer
Gary Hardwick
Wolfgang Becker
Jacques Perrin
 Jacques Cluzaud
Michael Dowse
Tom Brady
Lucky McKee
Eli Roth
Charles Stone III
AJ Schnack
Andreas Dresen
Shari Springer Berman
 Robert Pulcini
John Stainton
Larry Blamire
Jean-Xavier de Lestrade
Ki-duk Kim
Thomas Riedelsheimer
 Rob Letterman
Wych Kaosayananda
Neil Burger
Dana Brown
Keith Fulton
 Louis Pepe
J.T.S. Moore
Eric Till
André Heller
 Othmar Schmiderer
Peter Hedges
Steve Box
Michael O. Gallant
Charles S. Dutton
Bo Welch
Sion Sono
Carlos Carrera
Jim Malone
Marc Lawrence
Tuck Tucker
Richard Curtis
Isabel Coixet
Paul Justman
Vadim Perelman
Peter Sollett
 Joe Ranft
Fernando Meirelles
 Kátia Lund
Uwe Boll
Nir Bergman
J.J. Abrams
Aleksandr Sokurov
Rosanna Arquette
Nicolas Philibert
Wayne Kramer
Alexander Witt
Breck Eisner
Fernando León de Aranoa
Len Wiseman
Bille Woodruff
Jeff Tremaine
 Roger Gould
Linda Mendoza
Bob Odenkirk
Billy Ray
Ulf Malmros
Mark Moskowitz
Marcus Nispel
Paul McGuigan
Christine Jeffs
Stephen Fry
Chris Rock
Danny Pang
 Oxide Chun Pang
Eugene Jarecki
Tim Johnson
 Karey Kirkpatrick
Pitof
Paul Feig
Sam Jones
Hannu Tuomainen
Catherine Hardwicke
Youssef Chahine
 Amos Gitai
 Alejandro González Iñárritu
 Shôhei Imamura
 Claude Lelouch
 Ken Loach
 Samira Makhmalbaf
 Mira Nair
 Idrissa Ouedraogo
 Sean Penn
 Danis Tanovic
Peter Chung
 Andrew R. Jones
 Yoshiaki Kawajiri
 Takeshi Koike
 Mahiro Maeda
 Kôji Morimoto
 Shinichirô Watanabe
Per Fly
Aaron Blaise
 Robert Walker
Christian Charles
Kirk R. Thatcher
C.B. Harding
Adam Thomas Anderegg
Émile Gaudreault
Jonathan Hensleigh
Greg Marcks
Brian Dannelly
Zach Braff
Jeffrey Blitz
Eytan Fox
Peter Webber
Ethan Coen
 Joel Coen
James Cox
Olivier Dahan
Gary Winick
Marina de Van
Alexandre Aja
Mikael Håfström
Paul Abascal
Wai-Keung Lau
 Alan Mak
Kenta Fukasaku
Richard Day
Florent-Emilio Siri
Tom McCarthy
José Padilha
 Felipe Lacerda
Patty Jenkins
Jamie Johnson
John Dullaghan
Todd Graff
Andrew Jarecki
 Richard LaGravenese
Mark Decena
Robb Moss
Sam Green
 Bill Siegel
Michael Lembeck
Pen-Ek Ratanaruang
C. Jay Cox
Stephen Hillenburg
 Mark Osborne
Richard Ray Perez
 Joan Sekler
Nuri Bilge Ceylan
Kerry Conran
Marco Tullio Giordana
J.M. Kenny
Hiroyuki Morita
Rob McKittrick
Michael Clancy
 Tom McGrath
Yôji Yamada
Joon Ho Bong
Jørgen Leth
 Lars von Trier
Jeff Schaffer
 Alec Berg
 David Mandel
Mark Rosman
Jeff Nathanson
Adam McKay
David S. Goyer
Michael Mayer
Francis Lawrence
Gary Chapman
Nicole Kassell
John Curran
Sara Sugarman
 Eli Roth
Nick Hurran
Guillaume Canet
David Hillenbrand
 Scott Hillenbrand
Mitch Rouse
Kim Bartley
 Donnacha O'Briain
Zack Snyder
Takashi Shimizu
Yann Samuell
Rawson Marshall Thurber
 Joan Churchill
Niels Mueller
Grant Harvey
Jee-woon Kim
Richard Shepard
Edgar Wright
Liam Lynch
Daniel Burman
Jean-François Pouliot
 Warren Coleman
 Judy Morris
Dave McKean
Guy Maddin
Jessy Terrero
Phil Tippett
Mike Bigelow
Tommy Wiseau
Kazuhisa Takenouchi
Liz Garbus
Prachya Pinkaew
Siddiq Barmak
Joe Nussbaum
Julian Fellowes
Seth Gordon
Colin Trevorrow
Shainee Gabel
Paul Dinello
Stefan Fjeldmark
 Jesper Møller
Garth Jennings
Bob Smeaton
 Frank Cvitanovich
Clare Kilner
Christophe Barratier
Hyung-rae Shim
Dan Harris
Eric Brevig
Nathaniel Kahn
Ryan Little
Shane Black
David Yates
Nimród Antal
Chris Kentis
Ian Iqbal Rashid
Jared Hess
Geoffrey Sax
David Bowers
Paul Haggis
Sue Kramer
Matthew Vaughn
Gary Preisler
Andrey Zvyagintsev
Jacob Aaron Estes
Shona Auerbach
 Jennifer Abbott
Dan Ollman
 Sarah Price
 Chris Smith
Joss Whedon
Billy Corben
David Leland
Dunia Ayaso
 Félix Sabroso
Cate Shortland
Matthew O'Callaghan
Pawel Pawlikowski
Kay Pollak
Sebastián Cordero
Adam Elliot
 Jan Pinkava
Charlie Kaufman
Mike Clattenburg
Ömer Faruk Sorak
Jeff Wadlow
Dennis Gansel
Michael McGowan
Steve Pink
Andrew Douglas
Lexi Alexander
David Hinton
Pete Michels
 Peter Shin
Tetsuya Nomura
 Takeshi Nozue
Nick Love
James Gartner
Gil Kenan
Christian Volckman
James Wan
Michael Schorr
 Shôgo Furuya
Zana Briski
 Ross Kauffman
Ondi Timoner
David Slade
Steve Hickner
 Simon J. Smith
Kevin Willmott
Jessica Yu
Joshua Marston
Aleksi Mäkelä
Shane Carruth
Morgan Spurlock
Jonathan Caouette
Jehane Noujaim
Petter Næss
Tom Kuntz
 Mike Maguire
Rian Johnson
Terry George
Susan Stroman
Bud Luckey
Susannah Grant
Stephen J. Anderson
Everett Lewis
 Joe Lia
Tim Fywell
Jaume Collet-Serra
Dominic Brigstocke
Byron Howard
 Chris Williams
David Jacobson
Nathan Greno
 Byron Howard
Jean-François Richet
Gabor Csupo
Tennyson Bardwell
Jim Hanon
William Arntz
 Betsy Chasse
 Mark Vicente
Angela Robinson
 Jill Culton
 Anthony Stacchi
Jean-Marc Vallée
Shinji Aramaki
 Steven Foster
 Mary Elizabeth McGlynn
 Frédéric Auburtin
 Emmanuel Benbihy
 Gurinder Chadha
 Sylvain Chomet
 Isabel Coixet
 Wes Craven
 Alfonso Cuarón
 Gérard Depardieu
 Christopher Doyle
 Vincenzo Natali
 Alexander Payne
 Bruno Podalydès
 Walter Salles
 Oliver Schmitz
 Nobuhiro Suwa
 Daniela Thomas
 Tom Tykwer
 Gus Van Sant
Frank Miller
Andrew Horn
Bruce Hunt
Vít Klusák
 Filip Remunda
Tony Giglio
Timur Bekmambetov
Hatsuki Tsuji
Joseph Mealey
 Michael Shoob
Liev Schreiber
Scott Derrickson
Florian Henckel von Donnersmarck
Judd Apatow
Michael Mayhew
Xan Cassavetes
Jane Anderson
Arie Posin
Duncan Tucker
Robert Schwentke
Josh Stolberg
Sean Ellis
Craig Brewer
Jennifer Flackett
 Mark Levin
György Pálfi
Hendrik Hölzemann
Mark Levin
Chris Miller
 Raman Hui
Joe Wright
Pierre Morel
Miranda July
Tetsuya Nakashima
Greg McLean
Joachim Rønning
 Espen Sandberg
Julian Jarrold
Edith Becker
 Kevin Burns
Gary David Goldberg
Justin Lin
John Gatins
Phil Morrison
Tommy Lee Jones
Shane Meadows
Richard Bell
Jon Kasdan
John Bonito
Marco Kreuzpaintner
Sam Fell
 Robert Stevenhagen
Fruit Chan
 Takashi Miike
 Chan-wook Park
Jun Ichikawa
Kyle Patrick Alvarez
David Ayer
Anton Corbijn
Martin Curland
John Hillcoat
Ol Parker
Wladyslaw Starewicz
Billy Kent
Laurie Collyer
Ash Brannon
 Chris Buck
Jon Poll
 Sam Fell
Petra Epperlein
 Michael Tucker
Christian Carion
Judy Irving
Javier Soto
Robert Ben Garant
Joel Bender
Greg Coolidge
Martin McDonagh
Marc Rothemund
Kirsten Sheridan
 James McTeigue
Scott Frank
Jason Reitman
Allen Coulter
